2020-03-06 20:22:24 DEBUG ResourceBundleMessageInterpolator:89 - Loaded expression factory via original TCCL
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:96 - Could not find key 'spring.beaninfo.ignore' in any property source
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.image.location' in PropertySource 'configurationProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.image.location' in PropertySource 'servletConfigInitParams'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.image.location' in PropertySource 'servletContextInitParams'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.image.location' in PropertySource 'systemProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.image.location' in PropertySource 'systemEnvironment'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.image.location' in PropertySource 'random'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.image.location' in PropertySource 'applicationConfig: [classpath:/application.properties]'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.image.location' in PropertySource 'devtools'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:96 - Could not find key 'spring.banner.image.location' in any property source
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.location' in PropertySource 'configurationProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.location' in PropertySource 'servletConfigInitParams'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.location' in PropertySource 'servletContextInitParams'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.location' in PropertySource 'systemProperties'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.location' in PropertySource 'systemEnvironment'
#rootLogger.level = debug2020-03-06 20:22:24 TRACE PropertySourcesPropertyResolver:82 - Searching for key 'spring.banner.location' in PropertySource 'random'
